N,P,K,temperature,humidity,ph,rainfall,crop
32.1,71.5,19.3,17.48,22.61,5.59,122.31,Kidneybeans
73.4,54.3,36.1,20.53,87.28,6.5,262.61,Rice
135.2,51.2,24.0,24.49,76.31,6.62,70.09,Cotton
77.5,57.6,38.5,23.6,87.84,6.4,254.65,Rice
119.5,16.1,26.4,23.26,62.52,6.07,185.28,Coffee
101.4,46.1,23.2,25.54,75.87,7.08,105.66,Cotton
112.9,83.4,53.4,25.17,78.67,5.74,103.42,Banana
101.6,16.5,54.5,26.02,80.65,6.47,44.8,Watermelon
102.6,82.0,48.8,26.82,75.52,6.19,103.09,Banana
103.4,5.2,52.6,26.14,83.66,6.05,55.1,Watermelon
34.9,62.1,76.3,18.89,14.33,8.07,69.53,Chickpea
94.7,17.1,31.3,23.61,69.72,6.94,145.12,Coffee
84.3,47.8,17.3,19.59,59.41,6.02,98.98,Maize
110.7,17.4,48.1,26.44,88.67,6.67,40.94,Watermelon
122.2,55.6,21.3,25.14,80.99,6.83,107.9,Cotton
97.8,11.4,46.9,26.01,80.0,6.81,41.58,Watermelon
84.8,51.3,16.5,18.55,70.62,6.35,62.91,Maize
75.8,54.0,22.0,19.39,71.32,6.07,71.19,Maize
124.3,46.1,22.4,22.91,75.58,6.6,83.72,Cotton
89.7,45.6,18.5,21.34,74.75,5.85,103.35,Maize
39.2,68.9,20.0,17.22,20.83,5.76,127.61,Kidneybeans
100.4,18.6,48.6,24.24,81.93,6.95,48.17,Watermelon
112.7,29.0,52.9,25.81,84.93,6.04,59.69,Watermelon
104.9,80.1,51.8,27.1,84.61,6.1,114.22,Banana
40.8,74.3,81.5,17.45,19.26,7.46,68.47,Chickpea
111.3,75.4,45.4,26.01,76.79,5.84,102.55,Banana
25.9,70.3,77.8,17.62,17.1,5.92,60.23,Chickpea
71.7,57.4,35.1,20.6,82.08,6.03,201.77,Rice
136.7,57.2,21.3,25.23,75.69,6.67,75.69,Cotton
103.1,35.1,21.7,24.57,79.11,6.98,80.77,Cotton
75.7,45.3,22.0,18.03,67.39,6.23,99.71,Maize
114.2,78.8,51.4,26.23,76.09,6.29,92.97,Banana
24.3,63.7,79.5,19.25,17.91,7.7,70.57,Chickpea
73.9,51.6,23.0,26.34,59.69,6.28,67.62,Maize
102.9,10.4,53.6,26.83,85.18,6.35,44.68,Watermelon
121.6,50.1,17.2,24.5,80.72,6.37,62.98,Cotton
120.5,42.2,15.1,23.98,77.86,7.47,61.2,Cotton
21.8,64.0,18.1,17.17,19.29,5.67,141.71,Kidneybeans
16.9,67.5,23.0,18.9,23.98,5.72,88.9,Kidneybeans
117.0,17.9,46.2,25.58,81.27,6.59,49.65,Watermelon
91.6,93.4,50.3,28.07,79.82,5.59,113.04,Banana
123.0,49.2,23.8,24.23,84.6,6.1,64.9,Cotton
41.2,56.6,76.5,17.02,17.79,7.2,64.03,Chickpea
133.3,55.1,23.7,22.24,81.92,6.28,80.79,Cotton
86.8,22.7,28.5,25.16,65.64,6.58,181.46,Coffee
24.3,78.6,15.6,15.83,18.98,5.74,73.54,Kidneybeans
134.3,51.7,19.4,25.81,82.19,7.86,86.38,Cotton
118.4,55.7,23.3,24.84,76.05,7.68,93.55,Cotton
22.6,68.1,21.7,21.14,19.89,5.55,116.92,Kidneybeans
21.7,63.8,21.9,16.97,21.57,5.61,119.58,Kidneybeans
92.2,93.9,47.2,29.61,79.26,6.49,106.62,Banana
36.4,64.5,84.8,17.33,16.54,6.02,82.2,Chickpea
133.8,41.6,19.2,22.16,79.49,7.16,88.55,Cotton
86.3,60.0,15.5,26.79,63.14,6.84,99.12,Maize
116.1,28.2,45.1,24.23,82.5,6.67,57.77,Watermelon
32.6,73.8,76.0,17.83,15.66,7.15,89.41,Chickpea
26.6,55.9,76.1,18.02,18.82,7.56,75.38,Chickpea
68.2,38.0,21.2,24.97,67.88,6.44,62.1,Maize
93.1,80.8,47.3,27.58,77.53,6.44,117.18,Banana
41.3,62.9,79.7,19.46,16.76,6.94,74.83,Chickpea
117.4,79.2,48.7,26.92,83.37,6.15,108.43,Banana
108.6,20.1,48.0,25.23,82.18,6.97,42.61,Watermelon
90.5,11.0,49.8,26.66,83.78,6.75,41.94,Watermelon
64.0,45.0,23.0,19.84,66.1,6.68,90.8,Maize
67.9,49.1,19.6,26.75,67.17,6.22,65.7,Maize
85.8,30.2,30.0,27.56,52.93,6.78,130.96,Coffee
63.2,48.1,39.1,26.88,81.12,6.4,296.34,Rice
82.0,24.9,26.2,25.0,57.01,6.93,182.29,Coffee
87.9,17.0,26.7,27.62,66.43,6.42,169.02,Coffee
89.9,51.2,43.5,24.6,85.68,6.09,224.13,Rice
118.7,33.9,28.3,25.85,68.19,6.01,182.96,Coffee
112.3,11.2,45.6,24.4,88.59,6.63,45.06,Watermelon
45.6,71.7,80.9,19.68,15.11,6.13,67.19,Chickpea
64.2,51.4,23.2,21.42,70.51,6.96,70.19,Maize
80.8,43.4,23.3,21.88,59.97,6.54,95.34,Maize
38.7,68.0,22.8,17.39,23.94,5.51,114.32,Kidneybeans
65.2,35.8,24.2,23.55,70.93,6.38,65.87,Maize
93.6,72.8,49.1,28.24,82.12,5.68,92.39,Banana
62.4,41.9,43.1,25.24,81.85,6.21,224.46,Rice
98.6,17.7,34.3,27.34,64.15,6.13,179.83,Coffee
136.8,35.3,20.5,24.96,79.85,6.17,108.62,Cotton
103.8,17.1,25.2,27.55,55.39,6.98,199.94,Coffee
87.6,51.9,17.2,23.93,62.88,6.58,65.33,Maize
80.9,15.8,53.8,24.9,80.95,6.76,52.12,Watermelon
68.2,56.9,23.8,25.84,59.78,6.34,109.25,Maize
81.6,9.9,50.4,26.8,88.35,6.84,46.06,Watermelon
25.0,63.1,20.7,17.49,23.53,5.73,113.36,Kidneybeans
104.2,27.6,29.2,23.72,51.87,6.02,188.62,Coffee
38.7,69.3,83.3,19.72,14.07,7.85,61.56,Chickpea
18.7,66.9,23.6,16.39,18.5,5.69,87.22,Kidneybeans
86.7,34.7,33.2,24.41,51.4,6.07,120.83,Coffee
115.3,54.4,18.4,24.51,76.92,6.29,106.9,Cotton
90.9,40.0,35.1,25.71,87.07,6.73,272.55,Rice
115.7,16.6,28.3,24.24,69.76,6.47,175.94,Coffee
24.8,64.7,17.2,23.64,21.7,5.72,97.42,Kidneybeans
90.9,38.3,24.7,22.08,59.72,5.89,68.49,Maize
82.9,50.8,39.5,22.05,83.29,6.67,270.28,Rice
106.0,25.6,49.2,24.22,82.74,6.98,51.93,Watermelon
82.4,15.3,50.5,25.31,87.49,6.83,55.42,Watermelon
63.7,49.7,19.8,23.78,56.3,6.5,88.07,Maize
107.0,32.2,34.6,26.14,53.68,6.13,183.16,Coffee
108.4,5.2,50.2,24.11,85.69,6.92,59.37,Watermelon
110.8,40.0,22.8,25.64,78.7,7.5,104.85,Cotton
107.1,25.1,50.6,26.22,86.62,6.36,56.18,Watermelon
86.2,19.9,33.4,24.05,51.45,6.84,146.23,Coffee
88.4,37.7,20.7,20.31,74.26,6.38,100.3,Maize
112.3,30.4,26.1,26.22,66.69,6.69,168.18,Coffee
108.2,35.0,15.4,25.91,77.42,7.33,101.95,Cotton
122.9,43.5,21.5,22.27,83.97,6.24,76.39,Cotton
118.3,82.2,48.4,29.62,75.24,6.08,106.47,Banana
112.3,85.5,53.0,27.16,82.86,5.96,118.23,Banana
98.3,25.6,25.3,26.19,51.63,6.52,136.34,Coffee
21.6,79.3,77.3,17.91,15.82,6.57,60.04,Chickpea
114.7,23.6,34.7,25.26,52.86,6.47,195.65,Coffee
98.4,20.2,46.9,26.41,89.67,6.27,49.9,Watermelon
70.1,53.9,19.6,25.58,69.57,6.73,92.81,Maize
101.0,43.4,16.8,22.39,84.57,7.2,96.43,Cotton
84.6,42.7,21.2,22.74,63.52,5.96,104.33,Maize
113.5,55.7,15.0,23.23,77.41,6.47,63.41,Cotton
27.9,66.2,20.7,17.93,18.24,5.61,60.57,Kidneybeans
108.1,71.4,53.9,27.65,81.69,6.33,94.51,Banana
93.1,7.8,53.7,25.91,81.65,6.43,45.75,Watermelon
95.3,8.8,51.7,24.85,85.86,6.59,48.91,Watermelon
86.0,17.7,49.6,26.7,89.3,6.38,49.83,Watermelon
86.0,48.6,15.6,22.61,71.13,6.35,62.6,Maize
23.8,61.9,19.9,23.29,18.24,5.62,78.68,Kidneybeans
85.6,26.4,33.7,25.92,64.36,6.45,118.32,Coffee
99.2,47.3,38.3,24.43,82.4,6.08,195.47,Rice
86.5,48.9,22.3,22.19,56.2,6.47,107.88,Maize
117.7,36.2,23.2,25.31,80.88,6.71,99.99,Cotton
21.8,70.1,81.9,17.34,16.3,7.22,71.07,Chickpea
83.3,45.5,43.9,25.72,83.42,6.26,225.56,Rice
105.5,18.9,52.4,25.01,87.65,6.43,49.68,Watermelon
123.4,58.5,16.7,23.89,75.91,7.25,87.53,Cotton
82.1,5.3,53.0,25.43,81.31,6.24,58.65,Watermelon
46.7,62.2,78.7,17.17,14.67,7.4,68.03,Chickpea
89.6,34.0,28.1,23.84,59.21,6.37,113.16,Coffee
15.8,73.2,20.3,15.93,19.04,5.73,86.67,Kidneybeans
91.5,91.3,50.5,25.99,78.17,5.78,105.93,Banana
90.6,28.4,25.5,23.57,50.08,7.2,182.2,Coffee
31.8,65.5,79.1,19.72,18.28,7.66,69.28,Chickpea
37.4,65.9,80.8,18.55,18.55,6.72,70.59,Chickpea
99.9,48.9,42.7,26.61,88.5,6.25,234.07,Rice
92.9,25.9,30.5,24.78,58.95,7.16,143.96,Coffee
88.8,42.4,40.7,23.33,86.64,6.94,267.91,Rice
38.5,76.4,24.8,17.34,23.82,5.67,91.28,Kidneybeans
118.3,41.4,22.5,24.05,78.21,7.19,109.79,Cotton
90.8,5.5,52.2,24.1,85.95,6.54,59.38,Watermelon
99.5,44.4,38.7,25.69,89.47,6.99,270.41,Rice
77.4,41.2,43.2,25.6,86.95,6.27,250.83,Rice
121.4,50.9,17.0,22.85,75.41,6.64,87.99,Cotton
20.1,59.2,82.1,19.0,19.8,8.11,88.52,Chickpea
43.0,76.1,81.1,17.27,16.93,6.13,72.23,Chickpea
68.6,35.8,37.6,24.17,80.51,6.5,251.62,Rice
85.4,17.9,32.0,26.21,65.65,7.12,172.27,Coffee
91.3,28.7,53.4,26.17,80.78,6.11,49.86,Watermelon
85.0,46.3,20.9,19.51,69.74,6.84,70.84,Maize
24.3,73.2,16.4,20.14,19.11,5.61,79.68,Kidneybeans
67.1,48.6,24.8,26.44,55.86,6.0,66.59,Maize
119.9,77.2,46.5,26.2,84.36,6.02,100.94,Banana
40.0,66.5,22.5,22.26,23.15,5.9,81.73,Kidneybeans
38.6,60.0,79.0,17.12,16.85,7.47,66.83,Chickpea
113.4,11.6,49.5,25.61,86.64,6.78,47.9,Watermelon
120.7,49.5,24.4,24.69,79.81,7.62,107.53,Cotton
127.9,44.1,23.8,24.9,76.13,6.82,104.32,Cotton
99.6,21.4,26.9,24.55,69.5,6.49,150.02,Coffee
19.5,63.1,23.3,15.38,20.52,5.57,139.14,Kidneybeans
35.6,67.9,16.6,21.64,20.16,5.77,84.36,Kidneybeans
97.6,26.4,51.8,26.65,82.04,6.87,41.2,Watermelon
18.6,73.8,17.1,18.53,23.37,5.58,105.7,Kidneybeans
21.8,64.4,21.6,20.7,21.56,5.51,125.59,Kidneybeans
98.0,28.9,32.3,27.98,55.75,6.65,158.0,Coffee
139.7,41.0,23.7,25.32,77.25,6.8,80.48,Cotton
103.5,24.1,30.2,23.04,58.45,6.86,149.84,Coffee
62.1,45.5,17.6,24.58,74.63,6.11,92.71,Maize
96.5,47.8,40.0,25.59,86.5,6.7,275.5,Rice
81.9,52.3,41.5,21.57,87.12,6.24,219.05,Rice
74.7,36.7,15.3,19.22,74.26,6.46,108.29,Maize
24.7,62.7,77.9,19.61,18.04,8.21,67.51,Chickpea
67.0,57.9,39.2,22.68,85.19,6.05,199.95,Rice
119.9,88.8,51.4,26.78,75.49,5.53,106.63,Banana
112.6,33.7,30.1,27.75,60.71,6.47,186.34,Coffee
65.6,42.3,38.7,23.19,87.85,6.2,241.71,Rice
87.0,22.2,31.4,23.35,57.23,6.64,199.66,Coffee
125.5,55.5,15.4,23.99,81.89,6.5,75.39,Cotton
97.7,6.2,50.4,25.02,84.73,6.61,57.38,Watermelon
139.1,51.1,24.3,23.21,82.82,7.53,94.58,Cotton
101.7,17.6,28.8,23.5,62.46,6.54,180.02,Coffee
91.8,23.9,32.3,26.46,69.75,6.27,169.61,Coffee
119.9,70.6,46.1,28.05,83.21,5.79,97.18,Banana
25.7,71.8,84.8,17.31,14.05,7.16,62.78,Chickpea
94.6,87.8,51.8,25.12,79.12,5.83,110.08,Banana
41.1,65.6,78.5,18.19,15.59,6.5,74.49,Chickpea
97.1,88.3,45.4,25.47,75.07,5.65,92.07,Banana
81.3,36.3,38.4,20.94,80.63,6.99,218.68,Rice
93.9,32.9,34.7,25.22,56.42,6.63,171.9,Coffee
32.4,73.0,17.8,16.41,21.82,5.74,76.14,Kidneybeans
104.2,19.0,49.9,25.51,81.76,6.81,50.84,Watermelon
93.1,22.0,31.0,24.37,50.53,6.88,166.31,Coffee
103.6,89.8,53.4,28.27,77.28,5.77,99.45,Banana
83.4,34.7,31.7,24.43,61.72,6.13,196.93,Coffee
81.5,21.1,47.6,24.16,82.31,6.8,57.03,Watermelon
88.7,52.3,24.9,19.16,57.08,6.67,88.92,Maize
119.0,88.8,53.1,25.16,79.68,6.15,114.9,Banana
120.3,38.5,24.8,23.0,75.73,7.33,89.77,Cotton
100.7,16.5,31.3,24.27,66.07,6.98,198.11,Coffee
117.4,24.2,51.6,26.47,86.48,6.97,54.28,Watermelon
89.8,49.6,44.6,22.62,82.86,6.87,206.83,Rice
98.5,35.3,44.7,20.3,88.91,6.53,299.16,Rice
98.1,33.9,31.8,24.51,53.77,6.36,118.37,Coffee
90.5,54.9,19.4,25.36,57.4,6.45,60.29,Maize
72.4,43.1,42.3,24.46,88.87,6.47,194.35,Rice
31.9,73.6,18.7,23.48,19.0,5.7,122.18,Kidneybeans
99.6,76.3,50.3,29.12,76.03,6.44,113.85,Banana
80.9,42.2,22.9,23.2,67.69,6.76,79.8,Maize
46.8,78.7,83.9,18.26,18.68,7.28,74.93,Chickpea
81.6,15.4,32.7,23.67,59.35,6.73,148.55,Coffee
113.6,71.4,48.7,27.53,80.6,6.23,100.65,Banana
125.4,43.9,16.5,24.39,83.14,6.76,66.61,Cotton
93.8,74.4,54.6,28.47,83.01,5.9,100.09,Banana
136.9,47.6,18.3,24.95,75.37,6.95,76.82,Cotton
82.7,5.7,47.4,26.64,84.16,6.72,58.37,Watermelon
15.5,76.5,20.2,21.98,19.41,5.64,62.71,Kidneybeans
33.3,72.4,16.9,15.23,19.71,5.68,115.54,Kidneybeans
116.3,74.0,49.6,28.03,81.92,5.88,116.07,Banana
15.7,71.7,15.1,22.09,19.84,5.52,112.95,Kidneybeans
138.8,56.6,21.0,24.8,77.85,7.26,82.78,Cotton
95.1,59.9,18.7,22.04,69.44,6.86,89.65,Maize
86.6,12.1,52.9,26.72,89.75,6.23,57.63,Watermelon
77.9,50.0,20.2,26.27,64.94,6.99,102.57,Maize
47.6,79.8,75.4,19.28,16.23,7.04,82.63,Chickpea
67.3,39.6,38.0,23.67,84.32,6.29,253.42,Rice
61.4,57.7,37.6,24.64,83.12,6.52,245.61,Rice
39.3,72.4,80.1,17.92,15.28,6.0,69.12,Chickpea
104.7,85.1,48.3,29.92,81.67,5.54,99.8,Banana
16.6,76.5,17.9,19.0,18.13,5.62,105.24,Kidneybeans
121.1,43.4,20.2,22.79,83.05,6.37,64.25,Cotton
76.0,49.5,20.3,23.47,70.3,6.78,95.91,Maize
119.7,75.2,45.1,29.99,77.81,6.17,95.3,Banana
69.7,37.3,44.0,26.3,86.33,6.34,221.91,Rice
107.5,90.4,54.9,26.94,75.47,6.3,108.13,Banana
48.7,55.2,85.0,19.03,18.97,6.75,60.43,Chickpea
116.4,22.7,31.3,25.15,58.76,6.37,178.59,Coffee
112.0,19.8,25.7,24.58,55.34,6.61,180.0,Coffee
111.9,36.9,16.7,22.51,76.23,7.04,72.29,Cotton
21.5,63.2,16.6,15.63,19.11,5.77,139.35,Kidneybeans
108.4,38.3,17.0,25.08,79.26,7.13,61.05,Cotton
20.3,73.3,19.1,18.62,23.31,5.86,141.83,Kidneybeans
99.6,17.8,47.7,25.36,84.71,6.71,58.81,Watermelon
48.8,59.9,84.5,19.98,18.27,8.75,77.09,Chickpea
80.5,52.0,15.4,18.76,69.33,5.89,63.56,Maize
66.0,40.6,17.5,25.66,66.22,6.43,65.74,Maize
67.0,52.3,38.9,26.56,81.38,6.34,193.62,Rice
38.4,76.8,82.2,17.36,19.41,6.09,76.02,Chickpea
36.2,60.9,22.3,18.07,20.87,5.87,89.88,Kidneybeans
69.9,43.9,42.6,20.1,81.16,6.05,184.89,Rice
29.0,70.0,78.0,17.9,18.46,6.04,87.09,Chickpea
89.9,47.6,37.3,26.3,83.84,6.54,288.78,Rice
97.1,24.4,34.3,26.21,56.23,6.63,115.94,Coffee
92.1,42.1,36.8,25.25,88.07,6.99,229.51,Rice
15.8,64.1,18.4,19.6,21.69,5.86,105.89,Kidneybeans
74.9,40.7,15.7,23.43,68.36,6.54,83.17,Maize
60.5,51.6,36.8,26.73,81.49,6.41,190.24,Rice
100.2,29.7,49.7,24.17,82.62,6.44,43.14,Watermelon
100.0,90.4,45.4,29.35,80.13,5.9,104.92,Banana
107.0,78.9,48.8,27.06,82.28,5.95,115.7,Banana
87.4,39.1,44.1,25.76,89.5,6.73,253.61,Rice
108.0,15.3,46.4,26.0,85.25,6.64,46.76,Watermelon
106.7,43.9,19.0,22.23,80.83,7.77,67.59,Cotton
103.5,54.4,23.5,22.73,79.3,6.33,95.33,Cotton
36.1,68.6,18.8,23.24,19.51,5.84,103.56,Kidneybeans
91.7,90.5,45.4,26.84,80.42,5.65,112.39,Banana
119.6,6.0,51.5,25.33,89.49,6.25,50.64,Watermelon
17.6,67.1,19.1,21.08,21.95,5.53,95.57,Kidneybeans
31.5,73.8,16.2,23.45,19.09,5.75,80.04,Kidneybeans
48.4,67.4,78.8,17.49,18.72,8.03,71.53,Chickpea
116.9,22.2,46.3,25.07,85.92,6.84,40.87,Watermelon
38.0,73.6,80.1,18.9,14.43,6.64,70.86,Chickpea
107.4,28.7,47.7,26.43,80.55,6.54,41.41,Watermelon
20.5,79.1,82.3,17.91,18.98,6.72,86.18,Chickpea
116.4,31.4,32.6,23.24,66.87,6.53,140.82,Coffee
110.4,71.6,49.0,29.82,80.39,5.79,93.61,Banana
39.0,73.4,24.3,17.39,21.67,5.77,88.58,Kidneybeans
114.1,32.3,29.1,26.81,52.88,6.01,111.8,Coffee
132.6,49.9,18.9,23.89,83.55,6.68,103.48,Cotton
111.3,16.1,49.9,26.33,83.82,6.44,47.52,Watermelon
91.7,54.7,35.9,23.46,80.58,6.55,232.98,Rice
117.4,51.5,19.4,23.11,80.58,6.69,106.64,Cotton
64.8,57.3,40.9,24.75,87.89,6.5,190.43,Rice
86.0,28.0,26.7,27.36,62.26,6.19,196.61,Coffee
100.9,59.6,15.9,25.26,77.8,6.26,81.99,Cotton
38.8,67.2,79.0,19.98,19.28,7.71,77.08,Chickpea
82.7,30.0,45.2,26.51,83.65,6.84,51.09,Watermelon
64.7,45.2,23.4,21.45,66.44,6.51,69.22,Maize
28.0,70.0,78.0,19.14,18.55,6.2,75.42,Chickpea
97.0,76.6,45.4,25.62,84.86,5.82,93.46,Banana
35.3,70.7,84.3,17.06,16.86,7.89,81.68,Chickpea
47.6,72.4,82.3,19.59,15.64,8.24,65.86,Chickpea
107.6,36.0,18.9,25.21,78.41,6.89,93.78,Cotton
34.3,64.7,21.8,20.09,23.57,5.65,65.95,Kidneybeans
31.4,77.8,20.8,20.69,18.94,5.69,124.48,Kidneybeans
104.3,86.1,45.4,28.11,82.78,6.0,100.73,Banana
79.2,37.6,17.4,26.88,57.85,6.4,90.91,Maize
108.7,71.4,45.2,27.25,78.33,5.94,97.88,Banana
21.7,64.3,84.4,18.93,18.03,7.73,65.97,Chickpea
64.4,56.2,36.3,22.78,87.97,6.15,207.51,Rice
44.7,75.1,80.5,18.56,14.86,8.15,68.14,Chickpea
92.2,54.8,18.0,18.73,63.06,6.01,94.75,Maize
114.3,50.9,16.9,25.0,80.46,6.41,74.6,Cotton
114.3,59.7,21.8,25.8,76.43,6.76,87.74,Cotton
15.0,74.2,18.6,17.29,18.08,5.72,136.6,Kidneybeans
39.9,76.5,23.4,17.24,21.46,5.53,68.54,Kidneybeans
100.2,47.1,16.2,23.23,84.26,6.32,108.29,Cotton
98.7,55.0,17.9,26.82,67.04,6.5,97.4,Maize
27.7,63.8,15.8,21.27,20.3,5.83,119.36,Kidneybeans
111.3,45.0,23.1,22.06,81.49,7.34,99.93,Cotton
32.9,71.8,77.8,17.92,18.73,7.19,83.95,Chickpea
101.9,59.0,21.8,24.53,77.71,6.5,107.1,Cotton
28.8,68.1,23.3,22.33,21.67,5.65,82.98,Kidneybeans
